WOS ID,First Name,Country,Country Code,Gender,Gender Probability,Publication Year,Author Type,Publication
WOS:000209654500001,John,United States of America,US,male,100.00%,2011,Corresponding,ALLERGY ASTHMA PROC
WOS:000209831400005,Daniel,Brazil,BR,male,100.00%,2014,Corresponding,DIALOGUES CLIN NEURO
WOS:000213385600005,David,United States of America,US,male,100.00%,2014,Corresponding,J MASS SPECTROM
WOS:000225679000027,György,Sweden,SE,unknown,0.00%,2004,Corresponding,ELECTROPHORESIS
WOS:000230225300007,Margriet,Netherlands,NL,female,98.00%,2005,Corresponding,ANAL CHIM ACTA
WOS:000237187700007,Gérard,France,FR,male,100.00%,2006,Corresponding,CYTOM PART A
WOS:000237189700002,Patricia,Netherlands,NL,female,100.00%,2006,Corresponding,PEDIATR NEPHROL
WOS:000237433900002,Jay,United States of America,US,male,100.00%,2006,Corresponding,FREE RADICAL BIO MED
WOS:000237773100013,Hailing,China,CN,female,78.00%,2006,Corresponding,PROG CHEM
WOS:000237773500020,LuPing,Taiwan,TW,unknown,0.00%,2006,Corresponding,PROTEOMICS
WOS:000237773500023,Radoslav,United States of America,US,male,99.00%,2006,Corresponding,PROTEOMICS
WOS:000237794300019,Jon,United States of America,US,male,100.00%,2006,Corresponding,RAPID COMMUN MASS SP
WOS:000237794900007,Jing,United States of America,US,female,77.00%,2005,Corresponding,J ALZHEIMERS DIS
WOS:000237908000017,Zhen,United States of America,US,male,100.00%,2006,Corresponding,CLIN CHEM
WOS:000237973400007,WoonWon,South Korea,KR,unknown,0.00%,2006,Corresponding,J PROTEOME RES
WOS:000237973400009,Xiaohong,China,CN,female,76.00%,2006,Corresponding,J PROTEOME RES
WOS:000237986500005,Jose,Brazil,BR,male,100.00%,2006,Corresponding,BASIC CLIN PHARMACOL
WOS:000238004800033,John,United States of America,US,male,100.00%,2006,Corresponding,ENVIRON HEALTH PERSP
WOS:000238010400027,Kojo,United States of America,US,male,100.00%,2006,Corresponding,PROTEOMICS
WOS:000238108100008,Samuel,United States of America,US,male,100.00%,2006,Corresponding,LIFE SCI
WOS:000238160500003,Barbara,United States of America,US,female,100.00%,2006,Corresponding,SCHIZOPHR RES
WOS:000238165700035,Qin,United States of America,US,female,59.00%,2006,Corresponding,J BIOL CHEM
WOS:000238305400051,Roberto,United States of America,US,male,100.00%,2006,Corresponding,BLOOD
WOS:000238333400017,TszKwong,United States of America,US,unknown,0.00%,2006,Corresponding,PROTEOMICS
WOS:000238347700010,Luciana,Brazil,BR,female,100.00%,2006,Corresponding,BBA-PROTEINS PROTEOM
WOS:000238362700002,Craig,Canada,CA,male,100.00%,2006,Corresponding,MOL VIS
WOS:000238435300009,Harald,Germany,DE,male,100.00%,2006,Corresponding,ELECTROPHORESIS
WOS:000238469500013,Anthony,China,CN,male,100.00%,2006,Corresponding,CANCER-AM CANCER SOC
WOS:000238496100006,Tsutomu,Japan,JP,male,100.00%,2006,Corresponding,ANAL BIOANAL CHEM
WOS:000238499500010,Beihua,China,CN,female,75.00%,2006,Corresponding,GYNECOL ONCOL
WOS:000238548500010,Samir,Belgium,BE,male,99.00%,2006,Corresponding,HUM MUTAT
WOS:000238560900005,Jonas,Sweden,SE,male,100.00%,2006,Corresponding,ANALYST
WOS:000238632000007,Mark,United States of America,US,male,100.00%,2006,Corresponding,NEUROBIOL AGING
WOS:000238632300007,Michael,United States of America,US,male,100.00%,2006,Corresponding,NEUROBIOL DIS
WOS:000238725800013,Sascha,Germany,DE,male,99.00%,2006,Corresponding,CLIN CHEM
WOS:000238725800022,Cristina,Spain,ES,female,99.00%,2006,Corresponding,CLIN CHEM
WOS:000238838500014,Carlito,United States of America,US,male,100.00%,2006,Corresponding,J PROTEOME RES
WOS:000238838500019,JeanCharles,Switzerland,CH,male,100.00%,2006,Corresponding,J PROTEOME RES
WOS:000239045500018,Heidrun,Germany,DE,female,97.00%,2006,Corresponding,PROTEOMICS
WOS:000239073200010,Dafang,China,CN,unknown,0.00%,2006,Corresponding,DRUG METAB DISPOS
WOS:000239111400011,Liang,China,CN,male,98.00%,2006,Corresponding,ACTA OTO-LARYNGOL
WOS:000239206600005,Robert,United States of America,US,male,100.00%,2006,Corresponding,AM J NEPHROL
WOS:000239234900003,Bruce,United States of America,US,male,100.00%,2006,Corresponding,ANAL CHIM ACTA
WOS:000239348000005,Wulf,Germany,DE,male,99.00%,2006,Corresponding,HUM MUTAT
WOS:000239441200016,Jean,United States of America,US,female,100.00%,2006,Corresponding,INVEST OPHTH VIS SCI
WOS:000239468000045,Dorr,United States of America,US,male,100.00%,2006,Corresponding,ENVIRON HEALTH PERSP
WOS:000239477800007,Zhenyu,United States of America,US,male,100.00%,2006,Corresponding,J NEUROSCI
WOS:000239493700019,David,North Ireland,GB,male,100.00%,2006,Corresponding,J PROTEOME RES
WOS:000239615900005,Lorne,Canada,CA,male,100.00%,2006,Corresponding,MOL GENET METAB
WOS:000239643000004,Robin,England,GB,male,79.00%,2006,Corresponding,CELL TRANSPLANT
WOS:000239735600001,Cathy,Taiwan,TW,female,100.00%,2006,Corresponding,BMC BIOINFORMATICS
WOS:000239752100007,Gordon,United States of America,US,male,100.00%,2006,Corresponding,MOL BIOSYST
WOS:000239877700012,DongHo,South Korea,KR,male,100.00%,2006,Corresponding,J ALLERGY CLIN IMMUN
WOS:000239908900005,LaDora,United States of America,US,female,100.00%,2006,Corresponding,J GERONTOL A-BIOL
WOS:000239972100022,Xinru,China,CN,female,83.00%,2006,Corresponding,FOOD CHEM TOXICOL
WOS:000239980500017,José,Spain,ES,male,100.00%,2006,Corresponding,BBA-PROTEINS PROTEOM
WOS:000239995600007,Judith,Netherlands,NL,female,100.00%,2006,Corresponding,WORLD J GASTROENTERO
WOS:000240051000016,Joseph,United States of America,US,male,100.00%,2006,Corresponding,TOXICOLOGY
WOS:000240052400024,William,China,CN,male,100.00%,2006,Corresponding,J CELL BIOCHEM
WOS:000240081100004,Salvatore,Italy,IT,male,100.00%,2006,Corresponding,EUR J CANCER
WOS:000240200700002,Eleftherios,Canada,CA,male,100.00%,2006,Corresponding,J PROTEOME RES
WOS:000240200700009,Guowang,China,CN,unknown,0.00%,2006,Corresponding,J PROTEOME RES
WOS:000240200700011,Matthias,Germany,DE,male,100.00%,2006,Corresponding,J PROTEOME RES
WOS:000240200700017,Thomas,United States of America,US,male,100.00%,2006,Corresponding,J PROTEOME RES
WOS:000240241900016,Ross,Australia,AU,male,100.00%,2006,Corresponding,HEPATOLOGY
WOS:000240284100010,Helmut,Germany,DE,male,100.00%,2006,Corresponding,LANGENBECK ARCH SURG
WOS:000240292700008,Joohyun,United States of America,US,male,100.00%,2006,Corresponding,MOL PLANT PATHOL
WOS:000240358600043,Paolo,Italy,IT,male,100.00%,2006,Corresponding,J CLIN ENDOCR METAB
WOS:000240523700010,Michael,United States of America,US,male,100.00%,2006,Corresponding,ANAL BIOCHEM
WOS:000240527600014,Hirotaka,England,GB,unknown,0.00%,2006,Corresponding,J NEUROCHEM
WOS:000240564800015,Mark,United States of America,US,male,100.00%,2006,Corresponding,AM HEART J
WOS:000240567900021,Giman,Japan,JP,unknown,0.00%,2006,Corresponding,PROTEOMICS
WOS:000240578700002,Xiaoyun,China,CN,female,76.00%,2006,Corresponding,TRANSL RES
WOS:000240650000041,Zhenping,China,CN,female,50.00%,2006,Corresponding,BIOCHEM BIOPH RES CO
WOS:000240698700030,Sanjeev,England,GB,male,100.00%,2006,Corresponding,LANCET
WOS:000240712700007,Pierfrancesco,Italy,IT,male,99.00%,2006,Corresponding,J CHROMATOGR B
WOS:000240858000011,Kelvin,United States of America,US,male,100.00%,2006,Corresponding,CLIN CHEM
WOS:000240885000003,Giancarlo,Italy,IT,male,100.00%,2006,Corresponding,J MASS SPECTROM
WOS:000240896300042,Eiji,Japan,JP,male,100.00%,2006,Corresponding,J BIOL CHEM
WOS:000240936700007,Shosuke,Japan,JP,male,100.00%,2006,Corresponding,FREE RADICAL RES
WOS:000240951100016,Thomas,Germany,DE,male,100.00%,2006,Corresponding,RAPID COMMUN MASS SP
WOS:000241016700009,Jing,United States of America,US,female,77.00%,2006,Corresponding,J ALZHEIMERS DIS
WOS:000241018600006,YunLian,Taiwan,TW,unknown,0.00%,2006,Corresponding,J FOOD DRUG ANAL
WOS:000241053100025,YetRan,Taiwan,TW,unknown,0.00%,2006,Corresponding,J PROTEOME RES
WOS:000241053100026,Ian,United States of America,US,male,100.00%,2006,Corresponding,J PROTEOME RES
WOS:000241053100029,Jing,United States of America,US,female,77.00%,2006,Corresponding,J PROTEOME RES
WOS:000241053100035,Alamgir,Australia,AU,unknown,0.00%,2006,Corresponding,J PROTEOME RES
WOS:000241099200005,Terry,United States of America,US,male,94.00%,2006,Corresponding,CONTRACEPTION
WOS:000241173500012,LingJin,China,CN,female,100.00%,2006,Corresponding,LUNG CANCER
WOS:000241193100021,Marc,United States of America,US,male,100.00%,2006,Corresponding,AM J PHYSIOL-CELL PH
WOS:000241231800001,Mark,Netherlands,NL,male,100.00%,2006,Corresponding,BMC BIOINFORMATICS
WOS:000241403500022,Stephen,Canada,CA,male,100.00%,2006,Corresponding,J PHARMACOL EXP THER
WOS:000241414200008,Károly,Hungary,HU,male,100.00%,2006,Corresponding,PATHOL ONCOL RES
WOS:000241419400007,Alexander,Switzerland,CH,male,100.00%,2006,Corresponding,NITRIC OXIDE-BIOL CH
WOS:000241473700004,PaoChi,Taiwan,TW,unknown,0.00%,2006,Corresponding,ANAL CHIM ACTA
WOS:000241519300012,Richard,United States of America,US,male,100.00%,2006,Corresponding,MOL CELL PROTEOMICS
WOS:000241519300015,Axel,Switzerland,CH,male,100.00%,2006,Corresponding,MOL CELL PROTEOMICS
WOS:000241519300017,Richard,United States of America,US,male,100.00%,2006,Corresponding,MOL CELL PROTEOMICS
WOS:000241526800001,Rainer,Netherlands,NL,male,100.00%,2006,Corresponding,ANALYST
WOS:000241652400033,Owen,United States of America,US,male,100.00%,2006,Corresponding,CLIN CHEM
WOS:000241692300010,Elisabeth,United States of America,US,female,100.00%,2006,Corresponding,J NEUROPATH EXP NEUR
WOS:000241755400006,Randall,United States of America,US,male,100.00%,2006,Corresponding,J PROTEOME RES
WOS:000241755400029,Gary,United States of America,US,male,100.00%,2006,Corresponding,J PROTEOME RES
WOS:000241755400030,Jens,Canada,CA,male,99.00%,2006,Corresponding,J PROTEOME RES
WOS:000241755400034,Elisabet,Sweden,SE,female,100.00%,2006,Corresponding,J PROTEOME RES
WOS:000241774300002,Mirre,Netherlands,NL,female,100.00%,2006,Corresponding,ONKOLOGIE
WOS:000241822300043,Antonia,United States of America,US,female,98.00%,2006,Corresponding,ENVIRON HEALTH PERSP
WOS:000241822300045,Steven,United States of America,US,male,100.00%,2006,Corresponding,ENVIRON HEALTH PERSP
WOS:000241869300008,Stanley,United States of America,US,male,100.00%,2006,Corresponding,FREE RADICAL BIO MED
WOS:000241958500004,MICHAEL,United States of America,US,male,100.00%,2006,Corresponding,ALCOHOL ALCOHOLISM
WOS:000242008300011,Harold,Netherlands,NL,male,100.00%,2006,Corresponding,BBA-PROTEINS PROTEOM
WOS:000242008300013,Johannes,Netherlands,NL,male,100.00%,2006,Corresponding,BBA-PROTEINS PROTEOM
WOS:000242040100018,David,United States of America,US,male,100.00%,2006,Corresponding,CLIN CHIM ACTA
WOS:000242059400016,Hamid,United States of America,US,male,100.00%,2006,Corresponding,J CHROMATOGR A
WOS:000242111400008,Victoria,Argentina,AR,female,100.00%,2006,Corresponding,CLIN ENDOCRINOL
WOS:000242120600026,Stefanie,Germany,DE,female,99.00%,2006,Corresponding,J AM SOC NEPHROL
WOS:000242198100019,Bong,South Korea,KR,male,94.00%,2006,Corresponding,BIOMED CHROMATOGR
WOS:000242254600018,David,United States of America,US,male,100.00%,2006,Corresponding,PROTEOMICS
WOS:000242254600021,Etsuko,Japan,JP,female,100.00%,2006,Corresponding,PROTEOMICS
WOS:000242313700026,Thomas,Germany,DE,male,100.00%,2006,Corresponding,INT J MOL MED
WOS:000242328300008,Antonia,United States of America,US,female,98.00%,2006,Corresponding,J CHROMATOGR B
WOS:000242374800019,Sabine,England,GB,female,99.00%,2006,Corresponding,PLOS MED
WOS:000242427800011,Visith,Thailand,TH,male,100.00%,2006,Corresponding,J PROTEOME RES
WOS:000242490400006,Matthias,Germany,DE,male,100.00%,2006,Corresponding,GENOME BIOL
WOS:000242520500007,Michael,Germany,DE,male,100.00%,2006,Corresponding,MOL CELL PROTEOMICS
WOS:000242527600006,Ferdous,Iran,IR,male,67.00%,2006,Corresponding,WORLD J GASTROENTERO
WOS:000242686100039,Jakob,Denmark,DK,male,100.00%,2006,Corresponding,EUR J CANCER
WOS:000242710800004,Jin,China,CN,male,64.00%,2006,Corresponding,CANCER INVEST
WOS:000242727100001,Patrice,Switzerland,CH,female,68.00%,2006,Corresponding,BMC GENOMICS
WOS:000242754800004,IngNyol,South Korea,KR,unknown,0.00%,2006,Corresponding,J BIOSCI BIOENG
WOS:000242790700016,William,China,CN,male,100.00%,2006,Corresponding,J ETHNOPHARMACOL
WOS:000242820000012,Joachim,Germany,DE,male,100.00%,2006,Corresponding,CLIN CHEM
WOS:000242850200011,DeChuan,Taiwan,TW,unknown,0.00%,2007,Corresponding,ANN SURG ONCOL
WOS:000242879000014,Daniel,United States of America,US,male,100.00%,2006,Corresponding,PROTEOMICS
WOS:000242879000015,Colette,France,FR,female,99.00%,2006,Corresponding,PROTEOMICS
WOS:000242903400010,Ashraf,Egypt,EG,male,99.00%,2007,Corresponding,CANCER SCI
WOS:000242936400015,Ian,United States of America,US,male,100.00%,2006,Corresponding,RAPID COMMUN MASS SP
WOS:000242968000044,Rawi,Netherlands,NL,male,95.00%,2007,Corresponding,ANAL BIOANAL CHEM
WOS:000243012100011,Marcus,England,GB,male,100.00%,2006,Corresponding,FREE RADICAL BIO MED
WOS:000243191600034,Peter,United States of America,US,male,100.00%,2007,Corresponding,J THORAC CARDIOV SUR
WOS:000243262600015,Shengqing,China,CN,male,100.00%,2007,Corresponding,J PROTEOME RES
WOS:000243266600013,YiZeng,China,CN,unknown,0.00%,2006,Corresponding,FEBS LETT
WOS:000243277500004,JinXiong,United States of America,US,male,100.00%,2006,Corresponding,PROTEOMICS
WOS:000243399800042,Kristin,Belgium,BE,female,100.00%,2007,Corresponding,AM J PHYSIOL-GASTR L
WOS:000243412900012,Sandro,Italy,IT,male,99.00%,2007,Corresponding,J NEUROCHEM
WOS:000243570000050,Indrani,United States of America,US,female,100.00%,2007,Corresponding,BIOCHEM BIOPH RES CO
WOS:000243585300017,ChienChen,Taiwan,TW,unknown,0.00%,2007,Corresponding,CLIN CHIM ACTA
WOS:000243611400005,KuanChih,Taiwan,TW,unknown,0.00%,2007,Corresponding,ONCOL REP
WOS:000243706000017,Jeffrey,United States of America,US,male,100.00%,2007,Corresponding,AM HEART J
WOS:000243711300018,Gwang,South Korea,KR,male,96.00%,2007,Corresponding,J BIOCHEM MOL BIOL
WOS:000243714700016,Ashima,United States of America,US,female,100.00%,2007,Corresponding,PEDIATR RES
WOS:000243745000215,Xianlin,United States of America,US,unknown,0.00%,2007,Corresponding,FRONT BIOSCI
WOS:000243762900003,Heinz,Switzerland,CH,male,100.00%,2007,Corresponding,PROTEOMICS
WOS:000243762900005,Arndt,Germany,DE,male,99.00%,2007,Corresponding,PROTEOMICS
WOS:000243849900036,Towia,United States of America,US,unknown,0.00%,2007,Corresponding,P NATL ACAD SCI USA
WOS:000243865500020,Anne,New Zealand,NZ,female,100.00%,2007,Corresponding,INFECT IMMUN
WOS:000243885200003,Bing,Canada,CA,male,99.00%,2006,Corresponding,CLIN INVEST MED
WOS:000243927900012,Erwin,United States of America,US,male,100.00%,2007,Corresponding,J PROTEOME RES
WOS:000243927900022,Marina,United States of America,US,female,100.00%,2007,Corresponding,J PROTEOME RES
WOS:000243927900044,Fernando,Spain,ES,male,99.00%,2007,Corresponding,J PROTEOME RES
WOS:000243957700016,Arzu,Netherlands,NL,female,99.00%,2007,Corresponding,PROTEOMICS
WOS:000243965500013,Roger,China,CN,male,100.00%,2007,Corresponding,CLIN CHEM
WOS:000244016300019,ShuHan,China,CN,female,57.00%,2007,Corresponding,VACCINE
WOS:000244075100001,Proton,Canada,CA,unknown,0.00%,2007,Corresponding,BMC MUSCULOSKEL DIS
WOS:000244094600005,Brian,United States of America,US,male,100.00%,2007,Corresponding,PROSTATE
WOS:000244099500010,Peter,Germany,DE,male,100.00%,2007,Corresponding,HUM MUTAT
WOS:000244142400005,Leonor,United States of America,US,female,100.00%,2007,Corresponding,AM J RESP CELL MOL
WOS:000244183100001,Sumalee,Thailand,TH,female,98.00%,2007,Corresponding,MOL CELL PROBE
WOS:000244216100007,Judith,Netherlands,NL,female,100.00%,2007,Corresponding,LAB INVEST
WOS:000244262900019,Jennie,United States of America,US,female,100.00%,2007,Corresponding,TOXICOL SCI
WOS:000244269800005,Daria,United States of America,US,female,100.00%,2007,Corresponding,NEUROBIOL AGING
WOS:000244271500015,Jing,United States of America,US,female,77.00%,2007,Corresponding,PROTEOMICS
WOS:000244281100012,Kenneth,United States of America,US,male,100.00%,2007,Corresponding,J CHROMATOGR B
WOS:000244430600006,Sabine,England,GB,female,99.00%,2007,Corresponding,J SEP SCI
WOS:000244468100003,Joshua,United States of America,US,male,100.00%,2007,Corresponding,MOL VIS
WOS:000244499900004,Mark,England,GB,male,100.00%,2007,Corresponding,ANAL BIOCHEM
WOS:000244638400004,Sandeep,United States of America,US,male,100.00%,2007,Corresponding,J PROTEOME RES
WOS:000244638400007,Richard,Australia,AU,male,100.00%,2007,Corresponding,J PROTEOME RES
WOS:000244638400012,Mingliang,China,CN,male,95.00%,2007,Corresponding,J PROTEOME RES
WOS:000244651500033,Abdul,United States of America,US,male,100.00%,2007,Corresponding,ENVIRON HEALTH PERSP
WOS:000244667000007,Kelvin,United States of America,US,male,100.00%,2007,Corresponding,ANN NEUROL
WOS:000244672700008,Nam,Singapore,SG,male,72.00%,2007,Corresponding,J CELL PHYSIOL
WOS:000244702600005,XueYuan,China,CN,female,67.00%,2007,Corresponding,BIOMED ENVIRON SCI
WOS:000244720700006,Christian,United States of America,US,male,100.00%,2007,Corresponding,J NEUROCHEM
WOS:000244768400009,Raymonde,France,FR,female,99.00%,2007,Corresponding,J SEP SCI
WOS:000244809600003,HeQing,China,CN,male,67.00%,2007,Corresponding,INT J MASS SPECTROM
WOS:000244854600008,Anja,Denmark,DK,female,100.00%,2007,Corresponding,ARCH NEUROL-CHICAGO
WOS:000244941200028,Srinivasa,United States of America,US,male,99.00%,2007,Corresponding,DIABETES CARE
WOS:000245104100034,Luis,Spain,ES,male,99.00%,2007,Corresponding,ARTERIOSCL THROM VAS
WOS:000245119000009,Ferdinand,Germany,DE,male,100.00%,2007,Corresponding,NEOPLASIA
WOS:000245208200004,Stanley,Israel,IL,male,100.00%,2007,Corresponding,EUR J PAEDIATR NEURO
WOS:000245261600006,Henrik,Sweden,SE,male,100.00%,2006,Corresponding,METABOLOMICS
WOS:000245304300036,Wolfgang,Germany,DE,male,100.00%,2007,Corresponding,ANAL CHEM
WOS:000245323200002,Dunja,Germany,DE,female,96.00%,2007,Corresponding,METABOLOMICS
WOS:000245492200005,David,United States of America,US,male,100.00%,2007,Corresponding,BBA-PROTEINS PROTEOM
WOS:000245512300015,Hirohito,Japan,JP,male,98.00%,2007,Corresponding,HEPATOLOGY
WOS:000245563000052,Harold,Netherlands,NL,male,100.00%,2007,Corresponding,ANTICANCER RES
WOS:000245640400015,John,England,GB,male,100.00%,2007,Corresponding,CLIN CHEM
WOS:000245640400016,Minna,Finland,FI,female,97.00%,2007,Corresponding,CLIN CHEM
WOS:000245640400018,Eric,United States of America,US,male,100.00%,2007,Corresponding,CLIN CHEM
WOS:000245640400034,Randie,United States of America,US,female,78.00%,2007,Corresponding,CLIN CHEM
WOS:000245657300017,Pamela,United States of America,US,female,100.00%,2007,Corresponding,J VET DIAGN INVEST
WOS:000245719100009,Nao,Japan,JP,female,59.00%,2007,Corresponding,ANAL BIOCHEM
WOS:000245873400019,Gian,Italy,IT,male,100.00%,2007,Corresponding,J AM SOC NEPHROL
WOS:000245873400030,John,United States of America,US,male,100.00%,2007,Corresponding,J AM SOC NEPHROL
WOS:000245883800027,Dudley,United States of America,US,male,100.00%,2007,Corresponding,CLIN CANCER RES
WOS:000246020900023,Tor,United States of America,US,male,100.00%,2007,Corresponding,GASTROENTEROLOGY
WOS:000246028300008,Tesshi,Japan,JP,unknown,0.00%,2007,Corresponding,CANCER SCI
WOS:000246123100017,John,United States of America,US,male,100.00%,2007,Corresponding,J CELL BIOCHEM
WOS:000246203800004,Lena,Sweden,SE,female,100.00%,2007,Corresponding,INT ARCH OCC ENV HEA
WOS:000246253700033,Ping,China,CN,female,58.00%,2007,Corresponding,BIOCHEM BIOPH RES CO
WOS:000246257300018,MariePaule,Belgium,BE,female,100.00%,2007,Corresponding,BIOCHEM PHARMACOL
WOS:000246345000046,GeraldF,Germany,DE,unknown,0.00%,2007,Corresponding,INFECT IMMUN
WOS:000246414400002,Lin,United States of America,US,female,75.00%,2007,Corresponding,ANAL CHEM
WOS:000246469800001,Nelson,Switzerland,CH,male,99.00%,2006,Corresponding,PROTEOME SCI
WOS:000246488900006,Joseph,United States of America,US,male,100.00%,2007,Corresponding,J AM COLL CARDIOL
WOS:000246499700006,Helmut,Germany,DE,male,100.00%,2007,Corresponding,PANCREAS
WOS:000246508800003,Tianfu,United States of America,US,male,100.00%,2007,Corresponding,AM J MED SCI
WOS:000246524400009,Sergei,Russia,RU,male,100.00%,2007,Corresponding,PROTEOM CLIN APPL
WOS:000246526900001,Johannes,England,GB,male,100.00%,2007,Corresponding,MOL CELL PROTEOMICS
WOS:000246544700017,Gerard,United States of America,US,male,100.00%,2007,Corresponding,CHEST
WOS:000246564500011,Bas,Netherlands,NL,female,73.00%,2007,Corresponding,J NEUROL
WOS:000246615400001,Harald,Germany,DE,male,100.00%,2007,Corresponding,PROTEOM CLIN APPL
WOS:000246615400007,Hassan,Germany,DE,male,99.00%,2007,Corresponding,PROTEOM CLIN APPL
WOS:000246635600015,Cornelia,Germany,DE,female,99.00%,2007,Corresponding,PROTEOMICS
WOS:000246667000005,Stephan,Germany,DE,male,100.00%,2007,Corresponding,MOL IMMUNOL
WOS:000246825600008,Chih‐Chieh,Taiwan,TW,unknown,0.00%,2007,Corresponding,PROTEOM CLIN APPL
WOS:000246830300013,Mary,United States of America,US,female,100.00%,2007,Corresponding,CLIN CHEM
WOS:000246858600005,Randall,United States of America,US,male,100.00%,2007,Corresponding,J AM SOC MASS SPECTR
WOS:000246893500025,Lei,China,CN,male,69.00%,2007,Corresponding,J PROTEOME RES
WOS:000247003000007,William,China,CN,male,100.00%,2006,Corresponding,DIS MARKERS
WOS:000247166800014,Huub,Netherlands,NL,male,99.00%,2007,Corresponding,ANAL CHIM ACTA
WOS:000247240700009,Stephanie,United States of America,US,female,100.00%,2007,Corresponding,AM J EPIDEMIOL
WOS:000247271300001,Anthony,England,GB,male,100.00%,2007,Corresponding,MOL BIOTECHNOL
WOS:000247284500010,Brian,United States of America,US,male,100.00%,2007,Corresponding,J HISTOCHEM CYTOCHEM
WOS:000247407400019,Pernilla,Sweden,SE,female,99.00%,2007,Corresponding,INT J CANCER
WOS:000247467500005,Mohamed,Saudi Arabia,SA,male,100.00%,2007,Corresponding,RAPID COMMUN MASS SP
WOS:000247489100008,Connie,Netherlands,NL,female,99.00%,2007,Corresponding,PROTEOM CLIN APPL
WOS:000247489100009,Colin,England,GB,male,100.00%,2007,Corresponding,PROTEOM CLIN APPL
WOS:000247558000013,Terence,China,CN,male,99.00%,2007,Corresponding,CLIN CHEM
WOS:000247558000022,Sirikit,Germany,DE,female,100.00%,2007,Corresponding,CLIN CHEM
WOS:000247560900014,Tetsuji,Japan,JP,male,100.00%,2007,Corresponding,CANCER SCI
WOS:000247704200003,Antonia,Greece,GR,female,98.00%,2007,Corresponding,J CHROMATOGR B
WOS:000247719300060,Shu,China,CN,male,57.00%,2007,Corresponding,PEDIATRICS
WOS:000247792300034,Lai,China,CN,male,52.00%,2007,Corresponding,J PROTEOME RES
WOS:000247792300047,Rodolfo,Italy,IT,male,100.00%,2007,Corresponding,J PROTEOME RES
WOS:000247862000013,Yan,United States of America,US,male,82.00%,2007,Corresponding,J CLIN ONCOL
WOS:000247917800054,Glenn,United States of America,US,male,100.00%,2007,Corresponding,UROLOGY
WOS:000248199900004,Eric,Germany,DE,male,100.00%,2007,Corresponding,PROTEOM CLIN APPL
WOS:000248199900009,Frode,Norway,NO,male,99.00%,2007,Corresponding,PROTEOM CLIN APPL
WOS:000248200000005,Antonia,United States of America,US,female,98.00%,2007,Corresponding,DRUG METAB DISPOS
